Type,Company,Address,Company URL,City,State,ZIP,Phone number,"Vessel Types, Names",Cruise Type,Home Port,Waterways,Latitude,Longitude,Location 1
rentals,Amherst Marine Center,1900 Campbell Boulevard,http://www.amherstmarinecenter.com/,Amherst,NY,14228,(716) 691-6707,24' Pontoon-camper,,Amherst,All,43.067810999999999,-78.773047000000005,"(43.067810999999999, -78.773047000000005)"
rentals,Angler's Bay,103 Drive 17,http://boatoneida.com/,Cleveland,NY,13042,(315) 820-2628,"Sport, fishing, and pontoon boats",,Cleveland,"Oneida Lake, Erie Canal (eastern)",43.224485999999999,-75.833256000000006,"(43.224485999999999, -75.833256000000006)"
rentals,BFLO Harbor Kayak,1 Navel Park Cove,http://bfloharborkayak.com/,Buffalo,NY,14202,(716) 228-9153,"Kayaks, paddle boards",,Buffalo,Buffalo Inner Harbor,42.876953,-78.879801999999998,"(42.876953, -78.879801999999998)"
rentals,The Boat House,2855 Aqueduct Road,http://www.boathousecanoeskayaks.com/,Schenectady,NY,12309,(518) 393-5711,Canoes & kayaks,,Niskayuna,Erie Canal (eastern),42.849040000000002,-73.889588000000003,"(42.849040000000002, -73.889588000000003)"
rentals,Buffalo River Canoe & Kayak,900 Harlem Road,http://alli-50.wix.com/buffaloriver,West Seneca,NY,14224,(716) 771-2995,Canoes & kayaks,,Buffalo,Buffalo River,42.869520999999999,-78.786711999999994,"(42.869520999999999, -78.786711999999994)"
rentals,Canal Princess Charters,5176 Tonawanda Creek Road-North,http://www.porchesofpendleton.com/cruise.shtml,N. Tonawanda,NY,14120,(716) 308-3961,34' Houseboats,,Pendleton,Erie Canal (western),43.070141,-78.754748000000006,"(43.070141, -78.754748000000006)"
rentals,Canalside Experiences,706 Waterloo-Geneva Road,http://www.canalside.net/,Waterloo,NY,13165,(315) 651-4443,"Canoes & kayaks, fishing boats & rowboats, 24' Pontoon boat",,Waterloo,Cayuga-Seneca Canal,42.891620000000003,-76.916673000000003,"(42.891620000000003, -76.916673000000003)"
rentals,Champlain Houseboat Charters,P.O. Box 62,http://www.champlainhouseboatcharters.com/,Orwell,VT,5760,(802) 948-2288,"Houseboats, pontoon boats",,"Orwell, VT","Champlain Canal, Lake Champlain",43.799988999999997,-73.375732999999997,"(43.799988999999997, -73.375732999999997)"
rentals,Cruise - USA,406 Mc Namee Ave,http://www.cruise-usa.com/,Ocean Springs,MS,39564,(228) 424-3768,24' Trawlers,,Union Springs,"Cayuga Lake, Cayuga-Seneca Canal, Erie Canal (western)",42.857511000000002,-76.707217999999997,"(42.857511000000002, -76.707217999999997)"
rentals,"Erie Canal Boat Company, Inc.",7 Liftbridge Lane West,http://www.eriecanalboatcompany.com/,Fairport,NY,14450,(585) 748-2628,"Canoes, kayaks, paddleboats & pontoon boats",,Fairport,Erie Canal (western),43.102710999999999,-77.443280000000001,"(43.102710999999999, -77.443280000000001)"
rentals,Erie Canal Cruise Lines,P.O. Box 285,http://www.canalcruises.com/,Cape Vincent,NY,13618,(800) 962-1771,English-style narrowboats,,Seneca Falls,"Erie (western & central), Oswego, and Cayuga-Seneca Canals; Cayuga & Seneca Lakes",42.909959999999998,-76.798777999999999,"(42.909959999999998, -76.798777999999999)"
rentals,Erie-Champlain Canal Boating Co.,1 Tugboat Alley,http://www.eccboating.com/,Waterford,NY,12188,(518) 577- 6363,English-style narrowboats,,Waterford,"Erie Canal (eastern), Champlain Canal",42.788086,-73.680351999999999,"(42.788086, -73.680351999999999)"
rentals,Finger Lake Water Adventures,401 Boody's Hill Road,http://www.fingerlakeswateradventures.com/,Waterloo,NY,13165,(315) 789-5220,"67' Houseboat, pontoon boats, kayaks & paddle boats",,Waterloo,"All (houseboat), Cayuga-Seneca Canal, Seneca Lake",42.869602,-76.938367,"(42.869602, -76.938367)"
rentals,Frontenac Harbor,21 Basin Street,http://www.frontenacharbor.com/publish_9-2-13_011.htm,Union Springs,NY,13160,(315) 889-5532,20'-22' Pontoon Boats,,Union Springs,Cayuga Lake,42.839680000000001,-76.697216999999995,"(42.839680000000001, -76.697216999999995)"
rentals,Fuzzy Guppies,1278 Waterloo Geneva Road,http://www.fuzzyguppies.com/,Waterloo,NY,13165,(315) 539-8848,"Canoes, kayaks, paddleboats",,Waterloo,"Cayuga-Seneca Canal, Seneca Lake",42.901983999999999,-76.880008000000004,"(42.901983999999999, -76.880008000000004)"
rentals,Genesee Waterways Center,149 Elmwood Avenue,http://www.geneseewaterways.org/,Rochester,NY,14611,(585) 328-3960,Canoes & kayaks,,Genesee Valley Park,"Genesee River, Erie Canal (western), Lock 32 White Water Park",43.122467,-77.636433999999994,"(43.122467, -77.636433999999994)"
rentals,Glen Harbor Marina,4th Street at the Canal,http://www.glenharbormarina.com/,Watkins Glen,NY,14891,(607) 535-2751,"Kayaks, pontoon boats, waterski boats",,Watkins Glen,"Seneca Lake, Chemung Canal",42.383552999999999,-76.862116999999998,"(42.383552999999999, -76.862116999999998)"
rentals,Low Bridge Charters,82 Dewey Ave,http://www.lowbridgecharters.com/,Fairport,NY,14450,(585) 944-1764,English-style narrowboat,,Spencerport,Erie Canal (western),43.193795999999999,-77.801344,"(43.193795999999999, -77.801344)"
rentals,Mid Lakes Erie Macedon Landing,1865 Canandaigua Road,http://www.macedonlanding.com/,Macedon,NY,14502,(315) 986-3011,"English-style narrowboats, canoes, kayaks & paddleboats",,Macedon,"Erie (central & western), Oswego, and Cayuga-Seneca Canals",43.076979000000001,-77.323595999999995,"(43.076979000000001, -77.323595999999995)"
rentals,Oneida Shores Park,9400 Bartell Road,http://www.onondagacountyparks.com/activity/rentals-boats/,Brewerton,NY,13029,(315) 676-7366,Kayaks & row boats,,Brewerton,Oneida Lake,43.224583000000003,-76.106961999999996,"(43.224583000000003, -76.106961999999996)"
rentals,Onondaga Lake Park,106 Lake Drive,http://www.onondagacountyparks.com/activity/rentals-boats/,Liverpool,NY,13088,(315) 453-6721,Kayaks & row boats,,Liverpool,Onondaga Lake,43.09995,-76.209530000000001,"(43.09995, -76.209530000000001)"
rentals,"Paths, Peaks & Paddles",1000 Ellicott Creek Road,http://www.pathspeakspaddles.com/rentals.html,Tonawanda,NY,14150,(716) 213-0351,"Canoes, kayaks, paddleboats",,Tonawanda,"Ellicott Creek, Erie Canal (western)",43.015580999999997,-78.835093000000001,"(43.015580999999997, -78.835093000000001)"
rentals,Puddle Dockers,704 1/2 West Buffalo Street,http://www.puddledockers.com/,Ithaca,NY,14850,(607) 273-0096,Canoes & kayaks,,Ithaca,Cayuga Lake,42.441448999999999,-76.511709999999994,"(42.441448999999999, -76.511709999999994)"
rentals,Reagan's Canoe & Kayak Livery,440 Hall Road,http://www.reaganskayak.com,Himrod,NY,14842,(607) 243-9100,"Canoes, kayaks, paddle boards",,Milo,Seneca & Cayuga Lakes,42.590612,-76.938500000000005,"(42.590612, -76.938500000000005)"
rentals,Roy's Marina,4398 Clarks Point,http://roysmarina.net/,Geneva,NY,14456,(315) 789-3094,"Pontoon, bowrider and fishing boats; canoes & kayaks",,Geneva,"Seneca Lake, Cayuga-Seneca Canal",42.814342000000003,-76.976535999999996,"(42.814342000000003, -76.976535999999996)"
rentals,Summit to Stream Adventures,2 Seneca Harbor,http://summittostream.com/,Watkins Glen,NY,14891,(607) 535-2701,Canoes & kayaks,,Watkins Glen,"Seneca Lake, Chemung Canal",42.384269000000003,-76.871799999999993,"(42.384269000000003, -76.871799999999993)"
rentals,Ta-Ga-Soke Campgrounds,7820 Higginsville Road,http://www.ta-ga-soke.com,Blossvale,NY,13308,(800) 831-1744,Pontoon Boats,,Sylvan Beach,"Oneida Lake, Erie Canal (eastern)",43.222158,-75.695199000000002,"(43.222158, -75.695199000000002)"
rentals,Upstate Kayak Rentals,,http://upstatekayakrentals.com,Waterford,NY,,(518) 209-1063,Kayaks,,Waterford,Erie & Champlain Canals,42.786008000000002,-73.678156000000001,"(42.786008000000002, -73.678156000000001)"
rentals,Waikiki Watercraft Rentals,101 Whitehaven Rd.,http://www.waikikiwatercraft.com/,Grand Island,NY,14072,(716) 773-5862,Jet Skis,,Grand Island,Niagara River,43.024214000000001,-78.896833999999998,"(43.024214000000001, -78.896833999999998)"
rentals,Waterbike & Boat Adventures,11 Young St.,http://www.waterbikeadventures.com/,Tonawanda,NY,14150,(716) 316-3905,"Hydrobikes, kayaks, electric boats",,Tonawanda,"Ellicott Creek, Erie Canal (western)",43.020660999999997,-78.876463999999999,"(43.020660999999997, -78.876463999999999)"
rentals,Water Bikes of Buffalo,Canalside,http://www.waterbikesofbuffalo.com/,Buffalo,NY,14202,(716) 681-4643,"Hydrobikes, Waterpillars",,Buffalo,Buffalo Inner Harbor,42.876125999999999,-78.879271000000003,"(42.876125999999999, -78.879271000000003)"
cruises,Ace Charters,1-3 Basin Street,http://www.acecharters.com/,Oswego,NY,13126,(413) 346-7675,The Ace,Fishing Expeditions,Oswego,"Lake Ontario, Hudson River",43.462428000000003,-76.509257000000005,"(43.462428000000003, -76.509257000000005)"
cruises,Blount Small Ship Adventures,P.O. Box 368,http://blountsmallshipadventures.com/,Warren,RI,2885,(800) 556-7450,"Grande Mariner, Grand Caribe, Niagara Prince",Overnight cruises,New York City,"Erie Canal (eastern), Oswego Canal, Hudson River",40.747992000000004,-74.010267999999996,"(40.747992000000004, -74.010267999999996)"
cruises,Buffalo Harbor Cruises,79 Marine Drive,http://buffalocruise.localplacement.net/,Buffalo,NY,14202,(716) 856-6696,Miss Buffalo II,"Sightseeing, sunset cruises, charters",Buffalo,"Niagara River, Black Rock Canal, Lake Erie",42.878523000000001,-78.885803999999993,"(42.878523000000001, -78.885803999999993)"
cruises,Buffalo Sailing Adventures,1 Naval Park Cove,http://www.spiritofbuffalo.com/,Buffalo,NY,14202,(716) 796-7210,Spirit of Buffalo,"Day/sunset/wine cruises, kids pirate cruises, charters",Buffalo,Lake Erie,42.877308999999997,-78.879480000000001,"(42.877308999999997, -78.879480000000001)"
cruises,Captain Bill's,1 N. Franklin St.,http://www.senecaharborstation.com/index.asp?pageId=99,Watkins Glen,NY,14891,(607) 535-4541,"Seneca Legacy, Stroller IV","Dinner, music, cocktail cruises",Watkins Glen,Seneca Lake,42.384188000000002,-76.874949999999998,"(42.384188000000002, -76.874949999999998)"
cruises,Captain JJ,,http://captainjj.com/Private_Charters.html,Macedon,NY,,(585) 259-9283,Penguin,Private charters,Fairport,"Erie Canal (western), Genesee River",43.100976000000003,-77.440770000000001,"(43.100976000000003, -77.440770000000001)"
cruises,Captain J.P. Cruise Line,278 River St.,http://www.captainjp.com/,Troy,NY,12180,(518) 270-1901,Captain JP II,"Dinner, brunch, and music cruises; Charters",Troy,Hudson River,42.730848000000002,-73.694546000000003,"(42.730848000000002, -73.694546000000003)"
cruises,Cayuga Lake Cruises,P.O. Box 238,http://www.cayugalakecruises.com/,Ithaca,NY,14851,(607) 256-0898,M/V Columbia,"Dinner, lunch, brunch, cocktail, and happy hour cruises",Ithaca,Cayuga Lake,42.441943000000002,-76.511719999999997,"(42.441943000000002, -76.511719999999997)"
cruises,Colonial Belle,400 Packetts Landing,http://www.colonialbelle.com/,Fairport,NY,14450,(585) 223-9470,Colonial Belle,Daily & specialty cruises,Fairport,Erie Canal (western),43.100670000000001,-77.439897000000002,"(43.100670000000001, -77.439897000000002)"
cruises,Corn Hill Navigation,12 Schoen Place,http://www.sampatch.org,Pittsford,NY,14534,(585) 262-5661,Sam Patch,"Daily & specialty cruises, charters",Pittsford,"Erie Canal (western), Genesee River",43.091720000000002,-77.512910000000005,"(43.091720000000002, -77.512910000000005)"
cruises,Dutch Apple Cruises,PO Box 395,http://www.dutchapplecruises.com,Albany,NY,12201,(518) 463-0220,Dutch Apple II,"Brunch, sightseeing and specialty cruises; charters",Albany,Hudson River,42.641798999999999,-73.750206000000006,"(42.641798999999999, -73.750206000000006)"
cruises,Eagle Rock Charters,5591 State Route 90 North,http://www.eaglerockcharters.com/,Cayuga,NY,13034,(315) 889-5925,Inevitable,Fishing expeditions,Cayuga,Cayuga Lake,42.887644000000002,-76.708083999999999,"(42.887644000000002, -76.708083999999999)"
cruises,Erie Canal Cruises,800 Mohawk Street,http://www.eriecanalcruises.com/,Herkimer,NY,13350,(315) 717-0350,"Lil' Diamond II, Lil' Diamond III",Daily cruises,Herkimer,Erie Canal (eastern),43.016978999999999,-74.997459000000006,"(43.016978999999999, -74.997459000000006)"
cruises,Finger Lakes Boat Tours,401 Boody's Hill Road,http://www.fingerlakesboattours.com/,Waterloo,NY,13165,(585) 703-0031,Rose Lummis,"Daily cruises, charters",Waterloo,"Seneca Lake, Cayuga-Seneca Canal",42.870158000000004,-76.938170999999997,"(42.870158000000004, -76.938170999999997)"
cruises,Force Seven Charters,P.O. Box 121,http://forcesevencharters.com/,Clifton Springs,NY,14432,(585) 330-7440,META,"Day & overnight charters, fishing expeditions",Waterloo,"Cayuga-Seneca, Erie, and Oswego Canals; Lake Ontario",42.886868999999997,-76.924977999999996,"(42.886868999999997, -76.924977999999996)"
cruises,Ithaca Boat Tours,416 Old Taughannock Blvd,http://ithacaboattours.com,Ithaca,NY,14850,(607) 697-0166,M/V Haendel,"Sunset, picnic, moonlight, wine, eco tours; charters",Ithaca,Cayuga Lake,42.451430000000002,-76.509969999999996,"(42.451430000000002, -76.509969999999996)"
cruises,Liberty Boat Tours,401 Boody's Hill Rd,http://www.fingerlakeswateradventures.com/LibertyTourBoatSenecaLakeCayugaSenecaCanal.html,Waterloo,NY,13165,(315) 789-5520,Liberty,"Daily cruises, charters",Seneca Falls,"Cayuga-Seneca Canal, Cayuga & Seneca Lakes",42.909928000000001,-76.799214000000006,"(42.909928000000001, -76.799214000000006)"
cruises,Lockport Locks & Erie Canal Cruises,210 Market St.,http://www.lockportlocks.com/,Lockport,NY,14094,(800) 378-0352,"Lockview IV, Lockview V, Lockview VI",Daily & specialty cruises,Lockport,Erie Canal (western),43.175632999999998,-78.687014000000005,"(43.175632999999998, -78.687014000000005)"
cruises,Mid-Lakes Navigation,"P.O. Box 61, 11 Jordan St.",http://www.midlakesnav.com/,Skaneateles,NY,13152,(315) 685-8500,Emita II,"Daily lunch & dinner cruises, charters, overnight cruises",Dutchman's Landing (Syracuse outskirts),"Erie Canal (central), Onondaga Lake",43.130803,-76.252331999999996,"(43.130803, -76.252331999999996)"
cruises,Mohawk Maiden Cruises,"Lock C5, Route 4",http://www.mohawkmaidencruises.com/,Schuylerville,NY,12188,(518) 636-6146,Caldwell Belle,Daily & specialty cruises,Schuylerville,Champlain Canal,43.113717999999999,-73.579116999999997,"(43.113717999999999, -73.579116999999997)"
cruises,"Mohawk Valley Boat Charters, LLC",Bellamy Harbor Park,https://www.facebook.com/MohawkValleyBoatCharters2015,Rome,NY,,(315) 335-2270,Bella giornata,"Historical, fishing, leisurely tours",Rome,Erie Canal (eastern),43.201670999999997,-75.451368000000002,"(43.201670999999997, -75.451368000000002)"
cruises,Niagara River Cruises,1173 W. River Rd,http://niagararivercruises.org/,Grand Island,NY,14072,(716) 512-8081,Queen of Peace,"Sightseeing & concert cruises, charters",North Tonawanda,"Erie Canal (western), Niagara River",43.022606000000003,-78.872739999999993,"(43.022606000000003, -78.872739999999993)"
cruises,Queen City Bike Ferry,1 Naval Park Cove,http://www.queencityferry.com,Buffalo,NY,14202,,Queen City Bike Ferry,Bike/ped ferry between Canalside & Outer Harbor,Buffalo,Buffalo Inner Harbor,42.877166000000003,-78.879803999999993,"(42.877166000000003, -78.879803999999993)"
cruises,School's Out Charters,12 Autumn Ridge Circle,http://www.fingerlakeswinecruises.com/,Ithaca,NY,14850,(607) 280-3538,"School's Out, Summer School",Winery & Sunset cruises,Lansing,Cayuga Lake,42.536633999999999,-76.549379000000002,"(42.536633999999999, -76.549379000000002)"
cruises,"Schooner Excursions, Inc.",1 N. Franklin St.,http://www.schoonerexcursions.com/,Watkins Glen,NY,14891,(607) 535-5253,True Love,"Daily sailing cruises, charters",Watkins Glen,Seneca Lake,42.384647999999999,-76.874527,"(42.384647999999999, -76.874527)"
cruises,Seneca Wine Boat Tours,P.O. Box 395,http://senecawineboattours.com/,Corning,NY,14830,(570) 205-0391,,"Wine tasting tours, charters",Watkins Glen,Seneca Lake,42.384588000000001,-76.871672000000004,"(42.384588000000001, -76.871672000000004)"
cruises,Water to Wine Tours,7398 Wyers Point Road,http://www.winolimo.com/,Ovid,NY,14521,(607) 229-6368,"Isle of Skye, II Special, Panga","Winery tours, charters",Interlaken & Aurora,Cayuga Lake,42.667191000000003,-76.702903000000006,"(42.667191000000003, -76.702903000000006)"
cruises,WNY Classic Cruises,1 Dann Street,http://www.wnyclassiccruises.com/,Buffalo,NY,14207,(716) 946-7246,Summer Love,"sunset & moonlite cruises, charters",Buffalo,"Erie Canal (western), Niagara River, Black Rock Canal",42.934111999999999,-78.904646,"(42.934111999999999, -78.904646)"
